email_id,email_name,subject,preview_text,email_type,send_date,delivered,opens,clicks,web_version_url,ctr,open_rate,click_to_open_rate
216090201620,2026 Membership_EP Campaign #3,Free Opportunity: Help Someone Launch Their Manufacturing Career,"{'body': {'value': 'Paid for by donations in the manufacturing industry'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-06-29,39731,2177,133,https://49073304.hs-sites.com/-temporary-slug-4e1017c8-6db7-492e-892b-9b5030b76b58,0.0033475120183232,0.054793486194659,0.0610932475884244
216655376654,September MET NAICS,Be Part of MET's September Transportation Coverage,"{'body': {'value': ""Join MET's September issue for insights on automation and welding.""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-10,5761,394,6,https://49073304.hs-sites.com/-temporary-slug-44018e9f-0180-409c-9202-1fb28e6831e0,0.0010414858531504,0.0683909043568824,0.015228426395939
216596614550,MW 7/7/26,Your Manufacturing Weekly Newsletter Is Here,"{'body': {'value': 'July 7, 2026 - Robot Safety, Flying Taxis'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Newsletter,2026-07-07,36545,3568,330,https://www.facebook.com/SMEMediaNews,0.009029963059242,0.0976330551375017,0.0924887892376681
216372867452,2026 Membership_EP Campaign #4,Still Time to Share: Free Membership for Young Manufacturing Pros,"{'body': {'value': 'Paid for by donations in the manufacturing industry'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-02,41711,6285,175,https://49073304.hs-sites.com/-temporary-slug-4824f05b-59e0-4476-9ed6-038070dfec6b,0.0041955359497494,0.1506796768238594,0.0278440731901352
216596662640,MW 7/10/26,Your Manufacturing Weekly Newsletter Is Here,"{'body': {'value': 'July 10, 2026 - Toyota Moves to Texas, Velo3D Expands'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Newsletter,2026-07-10,36504,2692,365,https://www.facebook.com/SMEMediaNews,0.0099989042296734,0.0737453429761122,0.1355869242199108
216734735497,(A) 2026 Membership_SME Engage July 10,Register Now: FREE SME Engagement Events,"{'body': {'value': ""6 dates you won't want to miss""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-09,6991,770,119,https://49073304.hs-sites.com/register-now-free-sme-engagement-events-1,0.0170218852810756,0.1101416106422543,0.1545454545454545
216831955091,(B) 2026 Membership_SME Engage July 10,Register Now: FREE SME Engagement Events,"{'body': {'value': ""6 dates you won't want to miss""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-10,1784,206,33,https://49073304.hs-sites.com/register-now-free-sme-engagement-events-3,0.0184977578475336,0.1154708520179372,0.1601941747572815
216877076583,2026 Membership_EP Campaign #6,5 Days Left: Free Membership for Young Manufacturing Pros,"{'body': {'value': 'Paid for by donations in the manufacturing industry'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-10,4955,3101,104,https://49073304.hs-sites.com/-temporary-slug-e865b918-4311-4f2f-bb90-7fc436cfa2dc,0.0209889001009081,0.625832492431887,0.0335375685262818
216730965662,BTM Industrial Custom Email #2,There's still time to bid on affordable surplus assets!,"{'body': {'value': 'Advanced and precision manufacturing equipment sales that can upgrade facilities at a fraction of the cost of buying new!'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Advertising,2026-07-08,32845,907,100,https://49073304.hs-sites.com/-temporary-slug-77ecd6f8-f440-4360-a43b-0287f588ac51,0.0030446034404018,0.0276145532044451,0.1102535832414553
216900324491,MW 7/14/26,Your Manufacturing Weekly Newsletter Is Here,"{'body': {'value': 'July 14, 2026 - U.S. Aircraft Tariffs, Retrofitting for OEE'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Newsletter,2026-07-14,36441,3971,260,https://www.facebook.com/SMEMediaNews,0.0071348206690266,0.1089706649104031,0.0654746915134726
217070829208,(A) 2026 Membership_SME Engage July 17,Register Now: FREE SME Engagement Events,"{'body': {'value': ""6 dates you won't want to miss""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-16,6991,499,71,https://49073304.hs-sites.com/register-now-free-sme-engagement-events-2,0.0101559147475325,0.0713774853382921,0.1422845691382765
216730907755,2026 Membership_EP Campaign #5,Time's Running Out: Free Membership for Young Manufacturing Pros,"{'body': {'value': 'Paid for by donations in the manufacturing industry'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-08,46852,6697,224,https://49073304.hs-sites.com/-temporary-slug-0d1397db-0f4b-46c0-ae7c-88a56b2938f3,0.0047810125501579,0.142939468966106,0.0334478124533373
216822220628,Iscar Aug 5 Webinar Email #1,"{{ personalization_token('contact.firstname', 'Hi,') }}, class is in session.","{'body': {'value': 'Turning economics are changing, and we want to show you where cost per part is really won.'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Webinars,2026-07-09,31895,11928,346,https://49073304.hs-sites.com/-temporary-slug-a6278dde-70d5-42cd-9348-5416e4255903,0.0108480953127449,0.3739771124000627,0.0290073775989268
217121058212,(B) 2026 Membership_SME Engage July 17,Register Now: FREE SME Engagement Events,"{'body': {'value': ""6 dates you won't want to miss""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-17,3493,393,86,https://49073304.hs-sites.com/register-now-free-sme-engagement-events-4,0.024620669911251,0.1125107357572287,0.2188295165394402
217117465353,ECI eNotifier,Building a Practical Path to AI Readiness with ECI,"{'body': {'value': ""Read ECI's 2026 AI Readiness Report to see how your peers are navigating AI adoption with real-world results.""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-14,31431,1630,23,https://49073304.hs-sites.com/-temporary-slug-677853c5-1998-48c9-9879-67a3ead40014,0.0007317616366008,0.0518596290286659,0.0141104294478527
217083025055,2026 Membership_EP Campaign #8,Ends Tomorrow: Free SME Membership for Under 35 year olds,"{'body': {'value': 'Paid for by donations in the manufacturing industry'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-14,10582,8117,189,https://49073304.hs-sites.com/-temporary-slug-2593c287-8c65-4a25-a40a-9e9fa3f42fb3,0.0178605178605178,0.7670572670572671,0.0232844647037082
217138362468,Boston Dynamics Custom Email #1,You're Invited: The Art Behind Human-Robot Interaction,"{'body': {'value': 'Join our experts to learn how Atlas is designed for safe workplace collaboration.'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Advertising,2026-07-14,41498,1817,92,https://49073304.hs-sites.com/-temporary-slug-4f4a5eab-21f1-42ce-8a65-aae8237952e5,0.002216974312015,0.0437852426622969,0.050632911392405
217047151282,2026 Membership_EP Campaign #7,2 Days Left: Free Membership for Young Manufacturing Pros,"{'body': {'value': 'Paid for by donations in the manufacturing industry'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-13,62218,13289,602,https://49073304.hs-sites.com/-temporary-slug-b9b3ae14-9196-40b5-b464-f84dc1fae533,0.0096756565624095,0.2135877077373107,0.0453006245767175
217121095584,MW 7/17/26,Your Manufacturing Weekly Newsletter Is Here,"{'body': {'value': 'July 17, 2026 - New Unifor Contract, CMMC Uncertain'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Newsletter,2026-07-17,36380,2623,316,https://www.facebook.com/SMEMediaNews,0.0086860912589334,0.0721000549752611,0.1204727411361036
217148875030,MW 7/24/26,Your Manufacturing Weekly Newsletter Is Here,"{'body': {'value': 'July 21, 2026 - U.S. Aircraft Tariffs, Retrofitting for OEE'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Newsletter,2026-07-14,0,0,0,https://www.facebook.com/SMEMediaNews,0.0,0.0,0.0
217121065003,2026 Membership_MICC July 21,In 30 Mins: Digital Transformation for Smart Factories,"{'body': {'value': 'Explore automation, AI, IoT, and practical digital transformation strategies.'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-14,33342,14127,582,https://49073304.hs-sites.com/-temporary-slug-c1f5029e-4733-432b-af56-2c2366d4289e,0.0174554615799892,0.423699838042109,0.0411977065194308
